ccode,year,gender,age_group,edu_ilo,neet_fc
CIV,2019,Male,25-54,Upper Secondary,0.0470349929007006
CIV,2020,Male,25-54,Upper Secondary,0.2136321710634602
CIV,2021,Male,25-54,Upper Secondary,0.1573090419135588
CIV,2022,Male,25-54,Upper Secondary,0.1723868091732084
CIV,2023,Male,25-54,Upper Secondary,0.2191917489494163
CIV,2024,Male,25-54,Upper Secondary,0.1571613265109311
CIV,2025,Male,25-54,Upper Secondary,0.1571613265109311
CIV,2015,Female,55-64,Lower Secondary,0.5486476074020681
CIV,2016,Female,55-64,Lower Secondary,0.5298120036651323
CIV,2017,Female,55-64,Lower Secondary,0.95
CIV,2018,Female,55-64,Lower Secondary,0.5294115305651792
CIV,2019,Female,55-64,Lower Secondary,0.2869760681292772
CIV,2020,Female,55-64,Lower Secondary,0.5653758677659468
CIV,2021,Female,55-64,Lower Secondary,0.5312508523385312
CIV,2022,Female,55-64,Lower Secondary,0.4210267528645609
CIV,2023,Female,55-64,Lower Secondary,0.5569255367600165
CIV,2024,Female,55-64,Lower Secondary,0.4583020834444027
CIV,2025,Female,55-64,Lower Secondary,0.4583020834444027
CIV,2015,Female,55-64,No Education,0.6003783226713811
CIV,2016,Female,55-64,No Education,0.3705954512552243
CIV,2017,Female,55-64,No Education,0.5356050430431104
CIV,2018,Female,55-64,No Education,0.4613574880412366
CIV,2019,Female,55-64,No Education,0.3724600953488529
CIV,2020,Female,55-64,No Education,0.3963439512035302
CIV,2021,Female,55-64,No Education,0.4613110787740058
CIV,2022,Female,55-64,No Education,0.4536707858792282
CIV,2023,Female,55-64,No Education,0.7576144846249097
CIV,2024,Female,55-64,No Education,0.6311262073845516
CIV,2025,Female,55-64,No Education,0.6311262073845516
CIV,2015,Female,55-64,Primary,0.2937828312429767
CIV,2016,Female,55-64,Primary,0.2856391267861134
CIV,2017,Female,55-64,Primary,0.7174257754724559
CIV,2018,Female,55-64,Primary,0.2996656526197702
CIV,2019,Female,55-64,Primary,0.1657821401933239
CIV,2020,Female,55-64,Primary,0.3301321630479822
CIV,2021,Female,55-64,Primary,0.3228188663291084
CIV,2022,Female,55-64,Primary,0.2477861377616354
CIV,2023,Female,55-64,Primary,0.3709356071213648
CIV,2024,Female,55-64,Primary,0.2859520223678042
CIV,2025,Female,55-64,Primary,0.2859520223678042
CIV,2015,Female,55-64,Tertiary,0.4555629910367571
CIV,2016,Female,55-64,Tertiary,0.2328140092667618
CIV,2017,Female,55-64,Tertiary,0.1268051703641956
CIV,2018,Female,55-64,Tertiary,0.365063558153217
CIV,2019,Female,55-64,Tertiary,0.3282116888949066
CIV,2020,Female,55-64,Tertiary,0.3232005934089456
CIV,2021,Female,55-64,Tertiary,0.525131958478006
CIV,2022,Female,55-64,Tertiary,0.2844818974271828
CIV,2023,Female,55-64,Tertiary,0.4273608531057216
CIV,2024,Female,55-64,Tertiary,0.3545449143764028
CIV,2025,Female,55-64,Tertiary,0.3545449143764028
CIV,2015,Female,55-64,Upper Secondary,0.5238291897045105
CIV,2016,Female,55-64,Upper Secondary,0.2560109391247562
CIV,2017,Female,55-64,Upper Secondary,0.2945550493977273
CIV,2018,Female,55-64,Upper Secondary,0.3363861712464639
CIV,2019,Female,55-64,Upper Secondary,0.3142186458954623
CIV,2020,Female,55-64,Upper Secondary,0.5960029291744217
CIV,2021,Female,55-64,Upper Secondary,0.4828151630326441
CIV,2022,Female,55-64,Upper Secondary,0.3192727990327381
CIV,2023,Female,55-64,Upper Secondary,0.5556072608639514
CIV,2024,Female,55-64,Upper Secondary,0.5502488592290766
CIV,2025,Female,55-64,Upper Secondary,0.5502488592290766
CIV,2015,Male,55-64,Lower Secondary,0.4009745312869627
CIV,2016,Male,55-64,Lower Secondary,0.1872772646973328
CIV,2017,Male,55-64,Lower Secondary,0.9046399846114233
CIV,2018,Male,55-64,Lower Secondary,0.3114380901750698
CIV,2019,Male,55-64,Lower Secondary,0.117072790477551
CIV,2020,Male,55-64,Lower Secondary,0.3405087979347261
CIV,2021,Male,55-64,Lower Secondary,0.2647966967580666
CIV,2022,Male,55-64,Lower Secondary,0.1485733029710882
CIV,2023,Male,55-64,Lower Secondary,0.2899800724731369
CIV,2024,Male,55-64,Lower Secondary,0.2831329465648475
CIV,2025,Male,55-64,Lower Secondary,0.2831329465648475
CIV,2015,Male,55-64,No Education,0.1726675231169708
CIV,2016,Male,55-64,No Education,0.0903174707344059
CIV,2017,Male,55-64,No Education,0.2130312619815864
CIV,2018,Male,55-64,No Education,0.2208928309494315
CIV,2019,Male,55-64,No Education,0.0851689513621671
CIV,2020,Male,55-64,No Education,0.2027169676613625
CIV,2021,Male,55-64,No Education,0.3143447072753015
CIV,2022,Male,55-64,No Education,0.2015476911175314
CIV,2023,Male,55-64,No Education,0.528687182681869
CIV,2024,Male,55-64,No Education,0.3972098688122235
CIV,2025,Male,55-64,No Education,0.3972098688122235
CIV,2015,Male,55-64,Primary,0.2993493073986499
CIV,2016,Male,55-64,Primary,0.1384407193783909
CIV,2017,Male,55-64,Primary,0.661461673656351
CIV,2018,Male,55-64,Primary,0.2688741643750498
CIV,2019,Male,55-64,Primary,0.0886044468248877
CIV,2020,Male,55-64,Primary,0.240520400905272
CIV,2021,Male,55-64,Primary,0.182134747260606
CIV,2022,Male,55-64,Primary,0.140464473022293
CIV,2023,Male,55-64,Primary,0.3042488223020657
CIV,2024,Male,55-64,Primary,0.2497914749529047
CIV,2025,Male,55-64,Primary,0.2497914749529047
CIV,2015,Male,55-64,Tertiary,0.157287475994395
CIV,2016,Male,55-64,Tertiary,0.0682515107674332
CIV,2017,Male,55-64,Tertiary,0.0226033601466213
CIV,2018,Male,55-64,Tertiary,0.2210614556197453
CIV,2019,Male,55-64,Tertiary,0.0570742242787219
CIV,2020,Male,55-64,Tertiary,0.1795274713239124
CIV,2021,Male,55-64,Tertiary,0.3512931579293181
CIV,2022,Male,55-64,Tertiary,0.1144030945639444
CIV,2023,Male,55-64,Tertiary,0.3111796613731055
CIV,2024,Male,55-64,Tertiary,0.3233552335849415
CIV,2025,Male,55-64,Tertiary,0.3233552335849415
CIV,2015,Male,55-64,Upper Secondary,0.2561147165891866
CIV,2016,Male,55-64,Upper Secondary,0.1091661068465046
CIV,2017,Male,55-64,Upper Secondary,0.1294028399575652
CIV,2018,Male,55-64,Upper Secondary,0.1914514455463289
CIV,2019,Male,55-64,Upper Secondary,0.0462080082087948
CIV,2020,Male,55-64,Upper Secondary,0.2698923449291247
CIV,2021,Male,55-64,Upper Secondary,0.2052240920604424
CIV,2022,Male,55-64,Upper Secondary,0.2258611718197522
CIV,2023,Male,55-64,Upper Secondary,0.2861674793687278
CIV,2024,Male,55-64,Upper Secondary,0.2400476107201789
CIV,2025,Male,55-64,Upper Secondary,0.2400476107201789
