ccode,year,gender,age,age_group,status,geo,pop_emp_geo
CIV,2015,female,53,45-54,inactive,rural,8229.0
CIV,2015,female,53,45-54,inactive,urban,8905.0
CIV,2015,female,53,45-54,student,rural,0.0
CIV,2015,female,53,45-54,student,urban,0.0
CIV,2015,female,54,45-54,employed,rural,19829.0
CIV,2015,female,54,45-54,employed,urban,17042.0
CIV,2015,female,54,45-54,unemployed,rural,322.0
CIV,2015,female,54,45-54,unemployed,urban,719.0
CIV,2015,female,54,45-54,inactive,rural,7745.0
CIV,2015,female,54,45-54,inactive,urban,8382.0
CIV,2015,female,54,45-54,student,rural,0.0
CIV,2015,female,54,45-54,student,urban,0.0
CIV,2015,female,55,55-64,employed,rural,17965.0
CIV,2015,female,55,55-64,employed,urban,10695.0
CIV,2015,female,55,55-64,unemployed,rural,276.0
CIV,2015,female,55,55-64,unemployed,urban,533.0
CIV,2015,female,55,55-64,inactive,rural,8544.0
CIV,2015,female,55,55-64,inactive,urban,11280.0
CIV,2015,female,55,55-64,student,rural,673.0
CIV,2015,female,55,55-64,student,urban,888.0
CIV,2015,female,56,55-64,employed,rural,16894.0
CIV,2015,female,56,55-64,employed,urban,10058.0
CIV,2015,female,56,55-64,unemployed,rural,259.0
CIV,2015,female,56,55-64,unemployed,urban,502.0
CIV,2015,female,56,55-64,inactive,rural,8035.0
CIV,2015,female,56,55-64,inactive,urban,10608.0
CIV,2015,female,56,55-64,student,rural,632.0
CIV,2015,female,56,55-64,student,urban,835.0
CIV,2015,female,57,55-64,employed,rural,15877.0
CIV,2015,female,57,55-64,employed,urban,9452.0
CIV,2015,female,57,55-64,unemployed,rural,243.0
CIV,2015,female,57,55-64,unemployed,urban,472.0
CIV,2015,female,57,55-64,inactive,rural,7551.0
CIV,2015,female,57,55-64,inactive,urban,9969.0
CIV,2015,female,57,55-64,student,rural,594.0
CIV,2015,female,57,55-64,student,urban,785.0
CIV,2015,female,58,55-64,employed,rural,14916.0
CIV,2015,female,58,55-64,employed,urban,8880.0
CIV,2015,female,58,55-64,unemployed,rural,229.0
CIV,2015,female,58,55-64,unemployed,urban,443.0
CIV,2015,female,58,55-64,inactive,rural,7094.0
CIV,2015,female,58,55-64,inactive,urban,9366.0
CIV,2015,female,58,55-64,student,rural,559.0
CIV,2015,female,58,55-64,student,urban,737.0
CIV,2015,female,59,55-64,employed,rural,14003.0
CIV,2015,female,59,55-64,employed,urban,8336.0
CIV,2015,female,59,55-64,unemployed,rural,215.0
CIV,2015,female,59,55-64,unemployed,urban,416.0
CIV,2015,female,59,55-64,inactive,rural,6659.0
CIV,2015,female,59,55-64,inactive,urban,8792.0
CIV,2015,female,59,55-64,student,rural,524.0
CIV,2015,female,59,55-64,student,urban,692.0
CIV,2015,female,60,55-64,employed,rural,13129.0
CIV,2015,female,60,55-64,employed,urban,7816.0
CIV,2015,female,60,55-64,unemployed,rural,201.0
CIV,2015,female,60,55-64,unemployed,urban,390.0
CIV,2015,female,60,55-64,inactive,rural,6244.0
CIV,2015,female,60,55-64,inactive,urban,8243.0
CIV,2015,female,60,55-64,student,rural,491.0
CIV,2015,female,60,55-64,student,urban,649.0
CIV,2015,female,61,55-64,employed,rural,12303.0
CIV,2015,female,61,55-64,employed,urban,7324.0
CIV,2015,female,61,55-64,unemployed,rural,189.0
CIV,2015,female,61,55-64,unemployed,urban,365.0
CIV,2015,female,61,55-64,inactive,rural,5851.0
CIV,2015,female,61,55-64,inactive,urban,7725.0
CIV,2015,female,61,55-64,student,rural,461.0
CIV,2015,female,61,55-64,student,urban,608.0
CIV,2015,female,62,55-64,employed,rural,11481.0
CIV,2015,female,62,55-64,employed,urban,6835.0
CIV,2015,female,62,55-64,unemployed,rural,176.0
CIV,2015,female,62,55-64,unemployed,urban,341.0
CIV,2015,female,62,55-64,inactive,rural,5460.0
CIV,2015,female,62,55-64,inactive,urban,7209.0
CIV,2015,female,62,55-64,student,rural,430.0
CIV,2015,female,62,55-64,student,urban,567.0
CIV,2015,female,63,55-64,employed,rural,10642.0
CIV,2015,female,63,55-64,employed,urban,6336.0
CIV,2015,female,63,55-64,unemployed,rural,163.0
