ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2018,Primary,25-54,female,0.06558,0.32428
CIV,2019,Primary,25-54,female,0.07856,0.31153
CIV,2020,Primary,25-54,female,0.0576566666666666,0.2927033333333333
CIV,2021,Primary,25-54,female,0.0367533333333333,0.2738766666666666
CIV,2022,Primary,25-54,female,0.01585,0.25505
CIV,2023,Primary,25-54,female,0.01585,0.25505
CIV,2024,Primary,25-54,female,0.01585,0.25505
CIV,2025,Primary,25-54,female,0.01585,0.25505
CIV,2015,Primary,25-54,male,0.0247,0.10197
CIV,2016,Primary,25-54,male,0.02149,0.14035
CIV,2017,Primary,25-54,male,0.0215666666666666,0.1308233333333333
CIV,2018,Primary,25-54,male,0.0216433333333333,0.1212966666666666
CIV,2019,Primary,25-54,male,0.02172,0.11177
CIV,2020,Primary,25-54,male,0.01687,0.0865033333333333
CIV,2021,Primary,25-54,male,0.01202,0.0612366666666666
CIV,2022,Primary,25-54,male,0.0071699999999999,0.03597
CIV,2023,Primary,25-54,male,0.0071699999999999,0.03597
CIV,2024,Primary,25-54,male,0.0071699999999999,0.03597
CIV,2025,Primary,25-54,male,0.0071699999999999,0.03597
CIV,2015,Primary,55-64,female,0.04997,0.5407833333333333
CIV,2016,Primary,55-64,female,0.04997,0.65982
CIV,2017,Primary,55-64,female,0.04997,0.6541933333333333
CIV,2018,Primary,55-64,female,0.0421,0.6485666666666666
CIV,2019,Primary,55-64,female,0.0428099999999999,0.64294
CIV,2020,Primary,55-64,female,0.0421,0.5668
CIV,2021,Primary,55-64,female,0.04567875,0.49066
CIV,2022,Primary,55-64,female,0.04997,0.41452
CIV,2023,Primary,55-64,female,0.04997,0.41452
CIV,2024,Primary,55-64,female,0.04997,0.41452
CIV,2025,Primary,55-64,female,0.04997,0.41452
CIV,2015,Primary,55-64,male,0.03224,0.2613233333333333
CIV,2016,Primary,55-64,male,0.0348,0.31232
CIV,2017,Primary,55-64,male,0.03736,0.2842466666666666
CIV,2018,Primary,55-64,male,0.0312199999999999,0.2561733333333333
CIV,2019,Primary,55-64,male,0.0312199999999999,0.2281
CIV,2020,Primary,55-64,male,0.04327,0.1834033333333333
CIV,2021,Primary,55-64,male,0.03875,0.1387066666666666
CIV,2022,Primary,55-64,male,0.03944,0.09401
CIV,2023,Primary,55-64,male,0.03875,0.09401
CIV,2024,Primary,55-64,male,0.03875,0.09401
CIV,2025,Primary,55-64,male,0.03875,0.09401
CIV,2015,Tertiary,15-24,female,0.5735657142857143,0.7655366666666666
CIV,2016,Tertiary,15-24,female,0.5145242857142858,0.8289
CIV,2017,Tertiary,15-24,female,0.4554828571428572,0.740135
CIV,2018,Tertiary,15-24,female,0.3964414285714286,0.65137
CIV,2019,Tertiary,15-24,female,0.3374,0.562605
CIV,2020,Tertiary,15-24,female,0.5039433333333334,0.6021
CIV,2021,Tertiary,15-24,female,0.6704866666666667,0.641595
CIV,2022,Tertiary,15-24,female,0.83703,0.68109
CIV,2023,Tertiary,15-24,female,0.83703,0.68109
CIV,2024,Tertiary,15-24,female,0.83703,0.68109
CIV,2025,Tertiary,15-24,female,0.83703,0.68109
CIV,2015,Tertiary,15-24,male,0.3840042857142857,0.7170300000000001
CIV,2016,Tertiary,15-24,male,0.3426257142857143,0.7687
CIV,2017,Tertiary,15-24,male,0.3012471428571428,0.681515
CIV,2018,Tertiary,15-24,male,0.2598685714285714,0.59433
CIV,2019,Tertiary,15-24,male,0.21849,0.507145
CIV,2020,Tertiary,15-24,male,0.2950966666666667,0.5168033333333333
CIV,2021,Tertiary,15-24,male,0.3717033333333333,0.5264616666666667
CIV,2022,Tertiary,15-24,male,0.44831,0.53612
CIV,2023,Tertiary,15-24,male,0.44831,0.53612
CIV,2024,Tertiary,15-24,male,0.44831,0.53612
CIV,2025,Tertiary,15-24,male,0.44831,0.53612
CIV,2015,Tertiary,25-54,female,0.1346066666666666,0.31881
CIV,2016,Tertiary,25-54,female,0.14021,0.367345
CIV,2017,Tertiary,25-54,female,0.1156933333333333,0.341105
CIV,2018,Tertiary,25-54,female,0.0911766666666666,0.314865
CIV,2019,Tertiary,25-54,female,0.06666,0.288625
CIV,2020,Tertiary,25-54,female,0.1257016666666666,0.2878533333333333
CIV,2021,Tertiary,25-54,female,0.1847433333333333,0.2870816666666667
CIV,2022,Tertiary,25-54,female,0.243785,0.28631
CIV,2023,Tertiary,25-54,female,0.243785,0.28631
CIV,2024,Tertiary,25-54,female,0.243785,0.28631
CIV,2025,Tertiary,25-54,female,0.243785,0.28631
CIV,2015,Tertiary,25-54,male,0.0807233333333333,0.169955
CIV,2016,Tertiary,25-54,male,0.0856,0.205385
CIV,2017,Tertiary,25-54,male,0.07161,0.189825
CIV,2018,Tertiary,25-54,male,0.05762,0.174265
CIV,2019,Tertiary,25-54,male,0.04363,0.1587049999999999
CIV,2020,Tertiary,25-54,male,0.0550933333333333,0.14764
CIV,2021,Tertiary,25-54,male,0.0665566666666666,0.136575
CIV,2022,Tertiary,25-54,male,0.07802,0.12551
CIV,2023,Tertiary,25-54,male,0.07802,0.12551
CIV,2024,Tertiary,25-54,male,0.07802,0.12551
