ccode,year,gender,age,age_group,broad_sector,formality,population
CIV,2021,Female,24,15-24,Services,Informal,61.0
CIV,2021,Female,24,15-24,Services,Formal,1.0
CIV,2022,Female,15,15-24,Services,Informal,104.0
CIV,2022,Female,15,15-24,Services,Formal,1.0
CIV,2022,Female,16,15-24,Services,Informal,101.0
CIV,2022,Female,16,15-24,Services,Formal,1.0
CIV,2022,Female,17,15-24,Services,Informal,98.0
CIV,2022,Female,17,15-24,Services,Formal,1.0
CIV,2022,Female,18,15-24,Services,Informal,96.0
CIV,2022,Female,18,15-24,Services,Formal,1.0
CIV,2022,Female,19,15-24,Services,Informal,93.0
CIV,2022,Female,19,15-24,Services,Formal,1.0
CIV,2022,Female,20,15-24,Services,Informal,90.0
CIV,2022,Female,20,15-24,Services,Formal,1.0
CIV,2022,Female,21,15-24,Services,Informal,87.0
CIV,2022,Female,21,15-24,Services,Formal,1.0
CIV,2022,Female,22,15-24,Services,Informal,84.0
CIV,2022,Female,22,15-24,Services,Formal,1.0
CIV,2022,Female,23,15-24,Services,Informal,81.0
CIV,2022,Female,23,15-24,Services,Formal,1.0
CIV,2022,Female,24,15-24,Services,Informal,78.0
CIV,2022,Female,24,15-24,Services,Formal,1.0
CIV,2023,Female,15,15-24,Services,Informal,103.0
CIV,2023,Female,15,15-24,Services,Formal,6.0
CIV,2023,Female,16,15-24,Services,Informal,100.0
CIV,2023,Female,16,15-24,Services,Formal,6.0
CIV,2023,Female,17,15-24,Services,Informal,98.0
CIV,2023,Female,17,15-24,Services,Formal,5.0
CIV,2023,Female,18,15-24,Services,Informal,95.0
CIV,2023,Female,18,15-24,Services,Formal,5.0
CIV,2023,Female,19,15-24,Services,Informal,92.0
CIV,2023,Female,19,15-24,Services,Formal,5.0
CIV,2023,Female,20,15-24,Services,Informal,89.0
CIV,2023,Female,20,15-24,Services,Formal,5.0
CIV,2023,Female,21,15-24,Services,Informal,87.0
CIV,2023,Female,21,15-24,Services,Formal,5.0
CIV,2023,Female,22,15-24,Services,Informal,84.0
CIV,2023,Female,22,15-24,Services,Formal,5.0
CIV,2023,Female,23,15-24,Services,Informal,81.0
CIV,2023,Female,23,15-24,Services,Formal,5.0
CIV,2023,Female,24,15-24,Services,Informal,79.0
CIV,2023,Female,24,15-24,Services,Formal,4.0
CIV,2024,Female,15,15-24,Services,Informal,89.0
CIV,2024,Female,15,15-24,Services,Formal,3.0
CIV,2024,Female,16,15-24,Services,Informal,87.0
CIV,2024,Female,16,15-24,Services,Formal,3.0
CIV,2024,Female,17,15-24,Services,Informal,85.0
CIV,2024,Female,17,15-24,Services,Formal,3.0
CIV,2024,Female,18,15-24,Services,Informal,82.0
CIV,2024,Female,18,15-24,Services,Formal,3.0
CIV,2024,Female,19,15-24,Services,Informal,80.0
CIV,2024,Female,19,15-24,Services,Formal,3.0
CIV,2024,Female,20,15-24,Services,Informal,78.0
CIV,2024,Female,20,15-24,Services,Formal,3.0
CIV,2024,Female,21,15-24,Services,Informal,75.0
CIV,2024,Female,21,15-24,Services,Formal,3.0
CIV,2024,Female,22,15-24,Services,Informal,73.0
CIV,2024,Female,22,15-24,Services,Formal,3.0
CIV,2024,Female,23,15-24,Services,Informal,70.0
CIV,2024,Female,23,15-24,Services,Formal,3.0
CIV,2024,Female,24,15-24,Services,Informal,68.0
CIV,2024,Female,24,15-24,Services,Formal,3.0
CIV,2025,Female,15,15-24,Services,Informal,94.0
CIV,2025,Female,15,15-24,Services,Formal,1.0
CIV,2025,Female,16,15-24,Services,Informal,92.0
CIV,2025,Female,16,15-24,Services,Formal,1.0
CIV,2025,Female,17,15-24,Services,Informal,89.0
CIV,2025,Female,17,15-24,Services,Formal,1.0
CIV,2025,Female,18,15-24,Services,Informal,87.0
CIV,2025,Female,18,15-24,Services,Formal,1.0
CIV,2025,Female,19,15-24,Services,Informal,85.0
CIV,2025,Female,19,15-24,Services,Formal,1.0
CIV,2025,Female,20,15-24,Services,Informal,82.0
CIV,2025,Female,20,15-24,Services,Formal,1.0
CIV,2025,Female,21,15-24,Services,Informal,80.0
CIV,2025,Female,21,15-24,Services,Formal,1.0
CIV,2025,Female,22,15-24,Services,Informal,78.0
CIV,2025,Female,22,15-24,Services,Formal,1.0
CIV,2025,Female,23,15-24,Services,Informal,75.0
CIV,2025,Female,23,15-24,Services,Formal,1.0
CIV,2025,Female,24,15-24,Services,Informal,72.0
CIV,2025,Female,24,15-24,Services,Formal,1.0
CIV,2015,Female,15,15-24,Services,Informal,5960.0
CIV,2015,Female,15,15-24,Services,Formal,43.0
CIV,2015,Female,16,15-24,Services,Informal,5802.0
CIV,2015,Female,16,15-24,Services,Formal,42.0
CIV,2015,Female,17,15-24,Services,Informal,5617.0
CIV,2015,Female,17,15-24,Services,Formal,41.0
CIV,2015,Female,18,15-24,Services,Informal,5393.0
CIV,2015,Female,18,15-24,Services,Formal,39.0
CIV,2015,Female,19,15-24,Services,Informal,5146.0
CIV,2015,Female,19,15-24,Services,Formal,37.0
CIV,2015,Female,20,15-24,Services,Informal,4901.0
CIV,2015,Female,20,15-24,Services,Formal,35.0
CIV,2015,Female,21,15-24,Services,Informal,4653.0
CIV,2015,Female,21,15-24,Services,Formal,34.0
CIV,2015,Female,22,15-24,Services,Informal,4429.0
CIV,2015,Female,22,15-24,Services,Formal,32.0
CIV,2015,Female,23,15-24,Services,Informal,4242.0
CIV,2015,Female,23,15-24,Services,Formal,31.0
CIV,2015,Female,24,15-24,Services,Informal,4085.0
CIV,2015,Female,24,15-24,Services,Formal,29.0
CIV,2016,Female,15,15-24,Services,Informal,4705.0
CIV,2016,Female,15,15-24,Services,Formal,35.0
CIV,2016,Female,16,15-24,Services,Informal,4591.0
CIV,2016,Female,16,15-24,Services,Formal,34.0
CIV,2016,Female,17,15-24,Services,Informal,4455.0
CIV,2016,Female,17,15-24,Services,Formal,33.0
CIV,2016,Female,18,15-24,Services,Informal,4287.0
CIV,2016,Female,18,15-24,Services,Formal,31.0
CIV,2016,Female,19,15-24,Services,Informal,4098.0
CIV,2016,Female,19,15-24,Services,Formal,30.0
CIV,2016,Female,20,15-24,Services,Informal,3912.0
